NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,MAX_PROB,DILUTION
29079,"EROS B [+]",1.057,57856,"STARLINK-30291 [+]",1.672,"2023-11-09 21:08:31.728",0.176,14.589,0.00006071,0.097
56153,"OBJECT A [+]",1.136,56154,"OBJECT B [+]",1.136,"2023-11-09 21:09:07.815",0.34,0.001,0.00004549,0.074
56154,"OBJECT B [+]",1.139,56156,"OBJECT D [+]",1.139,"2023-11-09 21:12:56.709",0.263,0,0.0001785,0.037
56154,"OBJECT B [+]",1.149,56156,"OBJECT D [+]",1.149,"2023-11-09 21:26:44.056",0.258,0,0.0001785,0.037
51898,"STARLINK-3597 [+]",1.775,34351,"IRIDIUM 33 DEB [-]",1.365,"2023-11-09 22:11:58.021",0.351,12.195,0.0002104,0.127
53943,"YAOGAN-36 01A [+]",1.107,48902,"LINCS1 [-]",1.57,"2023-11-09 22:22:16.692",0.28,8.662,0.0000474,0.078
56153,"OBJECT A [+]",1.197,56156,"OBJECT D [+]",1.197,"2023-11-09 22:36:23.501",0.271,0.001,0.0003709,0.026
49399,"Z-SAT [+]",1.156,53661,"STARLINK-4472 [+]",1.339,"2023-11-09 22:43:47.238",0.481,14.966,0.00006285,0.31
56153,"OBJECT A [+]",1.203,56154,"OBJECT B [+]",1.203,"2023-11-09 22:44:31.033",0.403,0.001,0.00004549,0.074
56154,"OBJECT B [+]",1.204,56156,"OBJECT D [+]",1.204,"2023-11-09 22:46:34.255",0.277,0,0.0001785,0.037
48674,"STARLINK-2712 [+]",1.162,27629,"SL-14 DEB [-]",1.663,"2023-11-09 23:00:49.533",0.112,14.04,0.001544,0.054
56154,"OBJECT B [+]",1.216,56156,"OBJECT D [+]",1.216,"2023-11-09 23:03:10.451",0.272,0,0.0001785,0.037
55393,"STARLINK-4786 [+]",1.376,89067,"UNKNOWN [-]",1.938,"2023-11-09 23:16:12.066",0.045,1.91,0.01887,0.011
56153,"OBJECT A [+]",1.263,56156,"OBJECT D [+]",1.263,"2023-11-10 00:11:40.132",0.416,0.001,0.0003709,0.026
56153,"OBJECT A [+]",1.269,56154,"OBJECT B [+]",1.269,"2023-11-10 00:19:48.121",0.489,0.001,0.00004549,0.074
56154,"OBJECT B [+]",1.269,56156,"OBJECT D [+]",1.269,"2023-11-10 00:20:10.873",0.293,0,0.0001785,0.037
55608,"STARLINK-5726 [+]",1.332,34788,"COSMOS 2251 DEB [-]",2.228,"2023-11-10 00:20:39.821",0.283,12.877,0.0002977,0.111
51129,"STARLINK-3396 [+]",1.175,32137,"FENGYUN 1C DEB [-]",2.529,"2023-11-10 00:32:37.752",0.414,12.667,0.0001439,0.157
56154,"OBJECT B [+]",1.283,56156,"OBJECT D [+]",1.283,"2023-11-10 00:39:42.781",0.288,0,0.0001785,0.037
43885,"LEMUR-2-GUSTAVO [+]",1.766,47822,"STARLINK-2407 [+]",1.31,"2023-11-10 01:36:37.195",0.211,11.883,0.0006002,0.074
56154,"OBJECT B [+]",1.334,56156,"OBJECT D [+]",1.334,"2023-11-10 01:53:45.888",0.309,0,0.0001785,0.037
56154,"OBJECT B [+]",1.35,56156,"OBJECT D [+]",1.35,"2023-11-10 02:16:19.557",0.304,0,0.0001785,0.037
47627,"STARLINK-1972 [+]",2.023,43788,"FLOCK 3S-3 [-]",1.995,"2023-11-10 02:47:30.488",0.366,14.685,0.00009861,0.21
55176,"ONEWEB-0715 [+]",1.503,26119,"CZ-4B DEB [-]",1.606,"2023-11-10 02:50:09.637",0.477,4.713,0.00005982,0.118
55667,"STARLINK-5456 [+]",1.299,22329,"SL-16 DEB [-]",1.688,"2023-11-10 02:50:31.135",0.086,14.226,0.002524,0.043
45685,"STARLINK-1402 [P]",1.945,47727,"STARLINK-2129 [+]",1.339,"2023-11-10 03:03:18.946",0.291,7.013,0.001171,0.076
55595,"STARLINK-5740 [+]",1.425,20453,"DELTA 2 R/B(1) [-]",1.6,"2023-11-10 03:22:49.280",0.107,9.145,0.005566,0.031
56154,"OBJECT B [+]",1.399,56156,"OBJECT D [+]",1.399,"2023-11-10 03:27:18.907",0.325,0,0.0001785,0.037
56154,"OBJECT B [+]",1.417,56156,"OBJECT D [+]",1.417,"2023-11-10 03:53:00.107",0.32,0,0.0001785,0.037
46347,"STARLINK-1547 [+]",1.37,14699,"COSMOS 1536 [?]",1.896,"2023-11-10 03:53:24.350",0.23,5.506,0.0007076,0.058
45677,"STARLINK-1392 [+]",1.494,40033,"FLOCK 1C-11 [-]",1.696,"2023-11-10 04:18:28.964",0.453,5.848,0.0001461,0.115
38044,"GLOBALSTAR M090 [+]",1.681,22693,"SL-14 R/B [-]",1.876,"2023-11-10 04:38:21.411",0.397,11.249,0.00004469,0.139
53056,"STARLINK-4314 [+]",1.72,27218,"PSLV DEB [-]",1.852,"2023-11-10 04:42:00.278",0.463,14.019,0.00009025,0.224
56154,"OBJECT B [+]",1.464,56156,"OBJECT D [+]",1.464,"2023-11-10 05:00:49.533",0.341,0,0.0001785,0.037
56154,"OBJECT B [+]",1.484,56156,"OBJECT D [+]",1.484,"2023-11-10 05:29:44.269",0.335,0,0.0001785,0.037
52371,"STARLINK-3798 [+]",1.722,56752,"ELECTRON KICK STAGE R/B [-]",2.742,"2023-11-10 05:53:20.369",0.107,10.353,0.002661,0.033
46504,"NETSAT-4 [+]",1.814,53273,"STARLINK-4051 [+]",1.667,"2023-11-10 06:01:07.933",0.311,13.964,0.0002047,0.147
46037,"STARLINK-1565 [+]",1.417,12904,"SL-3 R/B [-]",1.664,"2023-11-10 06:02:39.769",0.476,13.112,0.000151,0.193
47141,"STARLINK-1854 [+]",2.377,32787,"COMPASS-1 [-]",1.771,"2023-11-10 06:06:33.588",0.067,13.862,0.00444,0.031
56154,"OBJECT B [+]",1.529,56156,"OBJECT D [+]",1.529,"2023-11-10 06:34:17.359",0.355,0,0.0001785,0.037
56154,"OBJECT B [+]",1.551,56156,"OBJECT D [+]",1.551,"2023-11-10 07:06:32.236",0.348,0,0.0001785,0.037
52616,"STARLINK-4015 [+]",1.802,57200,"OBJECT AL [+]",1.485,"2023-11-10 07:26:28.548",0.067,13.194,0.005094,0.027
56154,"OBJECT B [+]",1.594,56156,"OBJECT D [+]",1.594,"2023-11-10 08:07:41.861",0.368,0,0.0001785,0.037
43805,"AL-FARABI 2 [+]",2.262,48399,"STARLINK-2587 [+]",2.221,"2023-11-10 08:16:08.744",0.409,14.676,0.00009756,0.234
43809,"CENTAURI-1 [+]",2.246,55758,"STARLINK-5072 [+]",1.522,"2023-11-10 08:36:50.194",0.417,14.354,0.0001018,0.22
56154,"OBJECT B [+]",1.619,56156,"OBJECT D [+]",1.619,"2023-11-10 08:43:24.437",0.36,0,0.0001785,0.037
54069,"STARLINK-5223 [+]",2.374,34351,"IRIDIUM 33 DEB [-]",1.827,"2023-11-10 09:17:06.424",0.273,13.107,0.000308,0.111
41340,"HORYU-4 [+]",2.003,53549,"STARLINK-4516 [+]",2.014,"2023-11-10 09:17:48.124",0.254,4.438,0.0005912,0.062
37741,"GLOBALSTAR M091 [+]",2.13,23446,"COSMOS 2304 [?]",2.215,"2023-11-10 09:38:05.351",0.115,6.283,0.0003132,0.03
56154,"OBJECT B [+]",1.659,56156,"OBJECT D [+]",1.659,"2023-11-10 09:41:02.363",0.379,0,0.0001785,0.037
56154,"OBJECT B [+]",1.686,56156,"OBJECT D [+]",1.686,"2023-11-10 10:20:21.611",0.368,0,0.0001785,0.037
52161,"ARCSAT-1 [+]",2.274,54368,"ASTROCAST-0303 [+]",1.62,"2023-11-10 10:36:14.355",0.004,2.647,0.2262,0.001
43180,"KANOPUS-V 3 [+]",1.683,45734,"STARLINK-1468 [P]",1.896,"2023-11-10 10:42:37.956",0.366,14.284,0.0001381,0.185
46121,"STARLINK-1602 [+]",2.575,32787,"COMPASS-1 [-]",1.971,"2023-11-10 10:54:18.979",0.474,13.706,0.00009245,0.214
49122,"GAOFEN-5 02 [+]",1.699,25635,"ORSTED [-]",2.193,"2023-11-10 11:13:16.777",0.473,4.699,0.0001187,0.117
56154,"OBJECT B [+]",1.723,56156,"OBJECT D [+]",1.723,"2023-11-10 11:14:17.990",0.387,0,0.0001785,0.037
56155,"OBJECT C [+]",1.731,22547,"SL-16 DEB [-]",1.737,"2023-11-10 11:24:54.572",0.066,9.511,0.0008194,0.019
47907,"STARLINK-2367 [+]",1.959,51953,"OBJECT H [-]",1.726,"2023-11-10 11:55:57.897",0.083,12.884,0.00342,0.033
56154,"OBJECT B [+]",1.753,56156,"OBJECT D [+]",1.753,"2023-11-10 11:57:24.786",0.374,0,0.0001785,0.037
52279,"STARLINK-3686 [P]",1.598,51225,"COSMOS 1408 DEB [-]",2.08,"2023-11-10 12:21:09.265",0.473,14.16,0.0000865,0.229
42840,"LEMUR-2-FURIAUS [+]",2.011,56331,"STARLINK-5991 [+]",1.958,"2023-11-10 12:38:25.485",0.426,14.896,0.00008251,0.266
53801,"STARLINK-4715 [+]",2.014,48427,"CZ-2C R/B [-]",3.105,"2023-11-10 12:42:05.753",0.066,5.92,0.008424,0.017
49452,"STARLINK-3150 [+]",1.973,39928,"PEGASUS DEB [-]",3.616,"2023-11-10 12:44:16.086",0.454,11.283,0.0001382,0.149
56154,"OBJECT B [+]",1.788,56156,"OBJECT D [+]",1.788,"2023-11-10 12:47:27.574",0.391,0,0.0001785,0.037
