OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"CHUANGXIN 16B (CX-16B) [+]","STARLINK-5918 [+]",0.00009366,+],+]
"CUTE [+]","STARLINK-4490 [+]",0.00009221,+],+]
"LEMUR-2-TINYKEV [+]","STARLINK-3260 [+]",0.00009215,+],+]
"NETSAT-4 [+]","STARLINK-2601 [+]",0.00009191,+],+]
"OBJECT A [+]","OBJECT C [+]",0.00009152,+],+]
"STARLINK-5219 [+]","NANOZOND 1 (RS49S) [+]",0.00009147,+],+]
"AEROCUBE 8C [+]","STARLINK-5688 [+]",0.00009017,+],+]
"KSM1-C [+]","STARLINK-2500 [+]",0.00009011,+],+]
"STARLINK-2463 [+]","HIBARI [+]",0.00008981,+],+]
"YAOGAN-30 W [+]","MONOLITH [+]",0.00008953,+],+]
"CAPELLA-9-WHITNEY [+]","STARLINK-5851 [+]",0.0000895,+],+]
"LEMUR-2-KADI [+]","STARLINK-3044 [+]",0.00008939,+],+]
"SNUGLITE [+]","STARLINK-4348 [+]",0.00008917,+],+]
"STARLINK-4789 [+]","ION SCV-008 [+]",0.00008864,+],+]
"STARLINK-3541 [+]","OBJECT AJ [+]",0.0000879,+],+]
"STARLINK-3784 [+]","OBJECT G [+]",0.00008714,+],+]
"ASTROCAST 0.1 [+]","STARLINK-30086 [+]",0.000087,+],+]
"STARLINK-5067 [+]","TELEOS-2 [+]",0.00008618,+],+]
"STARLINK-3460 [+]","ION SCV-008 [+]",0.00008603,+],+]
"SJ-12 [+]","STARLINK-5498 [+]",0.00008556,+],+]
"LEMUR-2-THENICKMOLO [+]","STARLINK-3805 [+]",0.00008512,+],+]
"STARLINK-1335 [+]","R2 [+]",0.00008485,+],+]
"S-NET C [+]","STARLINK-5613 [+]",0.00008474,+],+]
"STARLINK-3274 [+]","HAWK-6A [+]",0.00008471,+],+]
"STARLINK-4051 [+]","OBJECT Y [+]",0.00008391,+],+]
"STARLINK-2757 [+]","HIBARI [+]",0.00008355,+],+]
"PROMETHEUS 2-3 [+]","STARLINK-2139 [+]",0.000083,+],+]
"OBJECT C [+]","STARLINK-5473 [+]",0.00008282,+],+]
"LEMUR-2-GUSTAVO [+]","STARLINK-2713 [+]",0.00008282,+],+]
"LEMUR-2-FURIAUS [+]","STARLINK-5991 [+]",0.00008251,+],+]
"STARLINK-3053 [+]","ANSER-FLW2 [+]",0.00008193,+],+]
"CORVUS BC2 [+]","STARLINK-5006 [+]",0.00008177,+],+]
"STARLINK-1287 [+]","OBJECT D [+]",0.00008155,+],+]
"TEIKYOSAT-4 (OORURI) [+]","STARLINK-4447 [+]",0.00008129,+],+]
"STARLINK-1569 [+]","KSM1-C [+]",0.00008126,+],+]
"OBJECT B [+]","STARLINK-5767 [+]",0.00008094,+],+]
"UMBRA-02 [+]","LEMUR-2-AADAM-ALIYAH [+]",0.00008088,+],+]
"JILIN-1 10 [+]","STARLINK-1654 [+]",0.00007952,+],+]
"STARLINK-5439 [+]","TROPICS-03 [+]",0.00007866,+],+]
"STARLINK-3055 [+]","CAPELLA-9-WHITNEY [+]",0.00007837,+],+]
"STARLINK-2526 [+]","SVYATOBOR 1 (RS60S) [+]",0.00007736,+],+]
"STARLINK-5199 [+]","OBJECT G [+]",0.00007711,+],+]
"STARLINK-3823 [+]","OBJECT AK [+]",0.00007673,+],+]
"SHIJIAN-6 03B (SJ-6 03B) [+]","STARLINK-5328 [+]",0.00007447,+],+]
"UWE-3 [+]","STARLINK-5895 [+]",0.00007435,+],+]
"STARLINK-2440 [+]","YARILO 3 [+]",0.00007429,+],+]
