NORAD_CAT_ID_1,OBJECT_NAME_1,NORAD_CAT_ID_2,OBJECT_NAME_2,CONJUCTION_COUNT
56940,"MISR-B-2 [+]",14147,"COSMOS 1470 [?]",3
46912,"KSM1-A [+]",48018,"STARLINK-2282 [+]",3
52668,"STARLINK-4067 [+]",47947,"OBJECT R [-]",3
55441,"ION SCV-009 [+]",58167,"STARLINK-30811 [+]",3
43573,"IRIDIUM 155 [+]",11869,"COSMOS 1190 [?]",3
55360,"STARLINK-5664 [+]",5187,"COSMOS 397 DEB [-]",3
44390,"ICEYE-X4 [+]",47867,"STARLINK-2321 [+]",3
57170,"OBJECT E [+]",57895,"STARLINK-30467 [+]",3
49397,"RAISE 2 [+]",57899,"STARLINK-30481 [+]",3
43796,"THEA [+]",57864,"STARLINK-30432 [+]",3
54791,"STARLINK-5425 [+]",9704,"SL-8 DEB [-]",3
51152,"STARLINK-3364 [+]",57327,"OBJECT BB [-]",3
47474,"FLOCK 4S-8 [+]",46321,"FLOCK 4V-2 [-]",3
55041,"SKYKRAFT-1 [+]",15331,"COSMOS 1602 [?]",3
47478,"FLOCK 4S-9 [+]",47688,"FLOCK 4S-45 [+]",3
43877,"KANOPUS-V 6 [+]",55137,"OBJECT E [+]",3
48083,"BEESAT-5 [+]",57427,"OBJECT D [+]",3
41850,"CELTEE 1 [+]",57636,"STARLINK-30330 [+]",2
53894,"STARLINK-5043 [+]",18958,"COSMOS 1933 [?]",2
58153,"STARLINK-30831 [+]",50669,"COSMOS 1408 DEB [-]",2
56953,"RUNNER-1 (TYVAK-1005) [+]",56970,"LEMUR-2-EMBRIONOVIS [+]",2
46486,"GONETS-M 17 [+]",9975,"DELTA 1 DEB [-]",2
49770,"STARLINK-3191 [+]",33493,"PRISM (HITOMI) [-]",2
53889,"STARLINK-5031 [+]",55326,"HAWK-6C [+]",2
47506,"ICEYE-X9 [+]",56179,"ORBASTRO-AF 1 [+]",2
40901,"ZDPS 2A [+]",52825,"COSMOS 1408 DEB [-]",2
40010,"KAZEOSAT 2 [+]",58016,"THEOS-2 (T2V) [+]",2
46906,"KSM1-C [+]",47908,"STARLINK-2368 [+]",2
55640,"STARLINK-5069 [+]",55229,"CZ-6A DEB [-]",2
43799,"HAWK-C [+]",53674,"STARLINK-4620 [+]",2
44389,"ICEYE-X5 [+]",45199,"STARLINK-1197 [+]",2
43805,"AL-FARABI 2 [+]",32787,"COMPASS-1 [-]",2
54686,"DONGPO 08 [+]",57499,"STARLINK-30169 [+]",2
50813,"STARLINK-3349 [+]",52937,"NEUSAR [+]",2
43882,"LEMUR-2-CHRISTINAHOLT [+]",53439,"STARLINK-4519 [+]",2
43796,"THEA [+]",46142,"STARLINK-1597 [+]",2
44861,"LEMUR-2-PAPPY [+]",56947,"ICEYE-X30 [+]",2
46504,"NETSAT-4 [+]",50827,"STARLINK-3329 [+]",2
47634,"STARLINK-2010 [+]",57325,"OBJECT AZ [-]",2
53667,"STARLINK-4406 [+]",58023,"PRETTY [+]",2
56481,"STARLINK-6222 [+]",58018,"ANSER-FLW2 [+]",2
42786,"DIAMOND BLUE [+]",14819,"COSMOS 1544 [?]",2
42839,"LEMUR-2-MONSON [+]",56809,"STARLINK-6040 [+]",2
29079,"EROS B [+]",55074,"FLOCK 4Y-2 [+]",2
48394,"STARLINK-2573 [+]",57180,"MONITOR-3 (RS58S) [+]",2
52860,"STARLINK-4191 [+]",47211,"RESURS O1 DEB [-]",2
39574,"GPM-CORE [+]",47214,"RESURS O1 DEB [-]",2
53159,"STARLINK-4111 [+]",57014,"OBJECT L [+]",2
51847,"STRIX-BETA [+]",53935,"STARLINK-5000 [+]",2
43765,"HAWK-A [+]",53674,"STARLINK-4620 [+]",2
46337,"STARLINK-1750 [+]",57193,"SITRO-AIS 8 (ANOKHIN) [+]",2
55995,"STARLINK-5957 [+]",57217,"KUZGTU 1 (RS47S) [+]",2
40030,"DTUSAT-2 [+]",55423,"STARLINK-5068 [+]",2
46906,"KSM1-C [+]",47787,"STARLINK-2257 [+]",2
58008,"STARLINK-30522 [+]",34103,"IRIDIUM 33 DEB [-]",2
53595,"STARLINK-4684 [+]",33875,"IRIDIUM 33 DEB [-]",2
41886,"CYGFM02 [X]",48956,"DEMO9 (AURORA) [+]",2
47354,"STARLINK-2046 [+]",57204,"SITRO-AIS 12 (SMIRENNIY) [+]",2
53909,"STARLINK-4796 [+]",57192,"SITRO-AIS 6 (CHIRKIN) [+]",2
47646,"STARLINK-2028 [+]",57189,"VIZARD-METEO (RS38S) [+]",2
42063,"SENTINEL-2B [+]",37305,"COSMOS 2251 DEB [-]",2
47578,"STARLINK-1980 [+]",43789,"IRVINE02 [-]",2
43800,"ICEYE-X2 [+]",53688,"STARLINK-4571 [+]",2
