OBJECT_NAME_1,OBJECT_NAME_2,TCA
"STARLINK-3264 [+]","MINOTAUR 4 DEB [-]","2023-11-09 02:42:43.737"
"STARLINK-6321 [+]","OBJECT BS [-]","2023-11-09 02:42:46.860"
"STARLINK-4336 [+]","COSMOS 2251 DEB [-]","2023-11-09 02:43:24.396"
"STARLINK-4584 [+]","H-2A DEB [-]","2023-11-09 02:44:04.356"
"STARLINK-3274 [+]","HAWK-6A [+]","2023-11-09 02:44:58.582"
"STARLINK-4681 [+]","OBJECT F [+]","2023-11-09 02:45:59.747"
"STARLINK-3045 [+]","CSC-1 [+]","2023-11-09 02:46:39.242"
"STARLINK-2518 [+]","RAISE 2 [+]","2023-11-09 02:46:53.620"
"STARLINK-1048 [+]","THOR ABLESTAR DEB [-]","2023-11-09 02:47:13.770"
"STARLINK-3271 [+]","OBJECT BB [-]","2023-11-09 02:47:30.869"
"STARLINK-2406 [+]","HUMSAT-D [-]","2023-11-09 02:47:55.980"
"STARLINK-4015 [+]","OBJECT BB [-]","2023-11-09 02:48:11.154"
"STARLINK-2112 [+]","ION SCV-010 [+]","2023-11-09 02:48:58.388"
"STARLINK-1769 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:49:06.260"
"STARLINK-5332 [+]","PSLV R/B [-]","2023-11-09 02:49:43.247"
"STARLINK-4164 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:50:37.867"
"STARLINK-30090 [+]","ARIANE 5 R/B [-]","2023-11-09 02:50:38.121"
"STARLINK-4038 [+]","CZ-4C R/B [-]","2023-11-09 02:51:25.468"
"STARLINK-1199 [+]","KIRARI (OICETS) [?]","2023-11-09 02:51:56.059"
"STARLINK-4151 [+]","SNIPE 4 [+]","2023-11-09 02:52:01.309"
"STARLINK-4190 [+]","COSMOS 2251 DEB [-]","2023-11-09 02:52:13.679"
"STARLINK-3861 [+]","COSMOS 1408 DEB [-]","2023-11-09 02:52:16.766"
"STARLINK-3355 [+]","OBJECT AL [+]","2023-11-09 02:53:00.517"
"STARLINK-5883 [+]","ICON [-]","2023-11-09 02:54:46.460"
"STARLINK-5031 [+]","HAWK-6C [+]","2023-11-09 02:56:38.864"
"STARLINK-1726 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:56:50.348"
"STARLINK-3312 [+]","VIZARD-METEO (RS38S) [+]","2023-11-09 02:57:32.938"
"STARLINK-2078 [+]","CZ-2D DEB [-]","2023-11-09 02:57:42.249"
"STARLINK-3846 [+]","SL-16 DEB [-]","2023-11-09 02:58:40.152"
"STARLINK-2100 [+]","YARILO 3 [+]","2023-11-09 02:59:06.764"
"STARLINK-3997 [+]","CZ-2C R/B [-]","2023-11-09 03:01:11.894"
"STARLINK-4373 [+]","DELTA 1 DEB [-]","2023-11-09 03:02:02.819"
"STARLINK-1711 [+]","OBJECT P [-]","2023-11-09 03:03:42.706"
"STARLINK-4418 [+]","DELTA 2 DEB [-]","2023-11-09 03:04:09.937"
"STARLINK-3535 [+]","OBJECT AW [-]","2023-11-09 03:04:18.566"
"STARLINK-4730 [+]","OBJECT AE [+]","2023-11-09 03:05:01.956"
"STARLINK-3078 [+]","STARLING 3 [+]","2023-11-09 03:05:43.419"
"STARLINK-5668 [+]","ASTRO-H (HITOMI) [-]","2023-11-09 03:06:12.732"
"STARLINK-3991 [+]","SL-3 R/B [-]","2023-11-09 03:06:23.089"
"STARLINK-1102 [P]","FENGYUN 1C DEB [-]","2023-11-09 03:06:44.123"
"STARLINK-2598 [+]","FLOCK 1C-6 [-]","2023-11-09 03:08:26.937"
"STARLINK-1454 [+]","FENGYUN 1C DEB [-]","2023-11-09 03:09:49.049"
"STARLINK-1735 [+]","CZ-6A DEB [-]","2023-11-09 03:10:33.383"
"STARLINK-4590 [+]","COSMOS 1975 [?]","2023-11-09 03:12:23.612"
"STARLINK-1247 [+]","ICEYE-X7 [+]","2023-11-09 03:13:06.552"
"STARLINK-3148 [+]","FENGYUN 1C DEB [-]","2023-11-09 03:14:44.677"
"STARLINK-5427 [+]","FENGYUN 1C DEB [-]","2023-11-09 03:16:13.828"
"STARLINK-2675 [+]","CZ-2C DEB [-]","2023-11-09 03:17:38.209"
"STARLINK-2487 [+]","CZ-4C R/B [-]","2023-11-09 03:18:12.320"
"STARLINK-2470 [+]","PSLV DEB [-]","2023-11-09 03:19:18.952"
"STARLINK-30272 [+]","IRIDIUM 33 DEB [-]","2023-11-09 03:20:33.230"
"STARLINK-4073 [+]","CZ-2C DEB [-]","2023-11-09 03:20:51.403"
"STARLINK-4189 [+]","OBJECT AG [+]","2023-11-09 03:21:36.591"
"STARLINK-30309 [+]","ASAP-S [-]","2023-11-09 03:21:41.782"
"STARLINK-30248 [+]","COMPASS-1 [-]","2023-11-09 03:22:47.873"
"STARLINK-1152 [+]","UNKNOWN [-]","2023-11-09 03:26:31.286"
"STARLINK-1976 [+]","BREEZE-M DEB [-]","2023-11-09 03:27:31.973"
"STARLINK-30465 [+]","COSMOS 1933 [?]","2023-11-09 03:28:08.185"
"STARLINK-5311 [+]","OBJECT H [-]","2023-11-09 03:29:08.787"
"STARLINK-3360 [+]","ARCCUBE 1 (RS25S) [+]","2023-11-09 03:29:38.732"
"STARLINK-2411 [+]","ELECTRON R/B [-]","2023-11-09 03:30:21.156"
"STARLINK-5376 [+]","COMPASS-1 [-]","2023-11-09 03:30:31.728"
"STARLINK-5593 [+]","FENGYUN 1C DEB [-]","2023-11-09 03:31:03.701"
"STARLINK-6059 [+]","CSC-1 [+]","2023-11-09 03:31:37.132"
"STARLINK-3179 [+]","PSLV DEB [-]","2023-11-09 03:31:57.071"
"STARLINK-5168 [+]","COSMOS 374 DEB [-]","2023-11-09 03:33:36.937"
"STARLINK-3248 [+]","FENGYUN 1C DEB [-]","2023-11-09 03:34:32.846"
"STARLINK-2088 [+]","FLOCK 3S-2 [-]","2023-11-09 03:34:49.734"
"STARLINK-4023 [+]","OBJECT E [+]","2023-11-09 03:35:08.369"
"STARLINK-4388 [+]","ANSER-FLW2 [+]","2023-11-09 03:35:23.149"
"STARLINK-2153 [+]","DELTA 2 R/B(1) [-]","2023-11-09 03:35:40.554"
"STARLINK-6089 [+]","PSLV DEB [-]","2023-11-09 03:36:27.031"
"STARLINK-4708 [+]","HAWK-6A [+]","2023-11-09 03:36:37.261"
"STARLINK-3934 [+]","RESURS O1 DEB [-]","2023-11-09 03:37:16.078"
"STARLINK-5307 [+]","CZ-6A DEB [-]","2023-11-09 03:37:44.132"
"STARLINK-30070 [+]","UMKA 1 (RS40S) [+]","2023-11-09 03:38:49.360"
"STARLINK-30701 [+]","NOAA 16 DEB [-]","2023-11-09 03:38:53.501"
"STARLINK-4491 [+]","FLOCK 1C-3 [-]","2023-11-09 03:39:46.839"
"STARLINK-1498 [P]","SPACEBEE-158 [+]","2023-11-09 03:40:23.788"
"STARLINK-4305 [+]","IRIDIUM 33 DEB [-]","2023-11-09 03:40:53.069"
"STARLINK-3372 [+]","OBJECT AK [+]","2023-11-09 03:44:22.152"
"STARLINK-5017 [+]","OBJECT AK [+]","2023-11-09 03:44:51.957"
"STARLINK-4175 [+]","COSMOS 1975 [?]","2023-11-09 03:46:44.793"
"STARLINK-1221 [+]","ARCCUBE 1 (RS25S) [+]","2023-11-09 03:47:00.846"
"STARLINK-4288 [+]","FENGYUN 1C DEB [-]","2023-11-09 03:48:04.977"
"STARLINK-4694 [+]","FLOCK 1C-3 [-]","2023-11-09 03:48:11.536"
"STARLINK-5330 [+]","COSMOS 2251 DEB [-]","2023-11-09 03:49:53.164"
"STARLINK-1402 [P]","OBJECT V [+]","2023-11-09 03:50:16.479"
"STARLINK-2711 [+]","Z-SAT [+]","2023-11-09 03:52:27.100"
"STARLINK-3271 [+]","OBJECT B [+]","2023-11-09 03:52:44.622"
"STARLINK-3529 [+]","ION SCV-008 [+]","2023-11-09 03:54:14.986"
"STARLINK-3080 [+]","ARIANE 1 DEB [-]","2023-11-09 03:54:21.152"
"STARLINK-5158 [+]","OBJECT N [+]","2023-11-09 03:54:52.606"
"STARLINK-2614 [+]","FENGYUN 1C DEB [-]","2023-11-09 03:55:14.505"
"STARLINK-5233 [+]","ELECTRON R/B [-]","2023-11-09 03:55:29.411"
"STARLINK-6100 [+]","OBJECT BB [-]","2023-11-09 03:55:57.623"
"STARLINK-5639 [+]","ASTRO-H (HITOMI) [-]","2023-11-09 03:56:36.991"
"STARLINK-3374 [+]","H-2A R/B [-]","2023-11-09 03:57:11.046"
"STARLINK-4440 [+]","RAPIDEYE 3 [-]","2023-11-09 03:57:50.753"
"STARLINK-4406 [+]","H-2A DEB [-]","2023-11-09 03:59:23.273"
"STARLINK-4346 [+]","CZ-6A DEB [-]","2023-11-09 03:59:23.668"
"STARLINK-3748 [+]","COSMOS 1758 [?]","2023-11-09 04:00:11.093"
"STARLINK-3337 [P]","STARLINK-5138 [+]","2023-11-09 04:00:19.570"
"STARLINK-4117 [+]","IRVINE02 [-]","2023-11-09 04:00:37.902"
"STARLINK-5029 [+]","OBJECT D [+]","2023-11-09 04:01:10.524"
"STARLINK-2504 [+]","FENGYUN 1C DEB [-]","2023-11-09 04:01:13.576"
