NORAD_CAT_ID_1,OBJECT_NAME_1,NORAD_CAT_ID_2,OBJECT_NAME_2,MAX_PROB,DILUTION
48688,"STARLINK-2742 [+]",32363,"FENGYUN 1C DEB [-]",0.00003048,0.322
56153,"OBJECT A [+]",56154,"OBJECT B [+]",0.00004549,0.074
48238,"ONEWEB-0193 [+]",26836,"DELTA 1 DEB [-]",0.00001743,0.24
58173,"PARUS [+]",41732,"3CAT-2 [-]",0.000002156,0.385
55927,"STARLINK-5919 [+]",30490,"FENGYUN 1C DEB [-]",0.00000579,0.774
40298,"ASNARO [+]",16719,"COSMOS 1743 [?]",0.000002669,0.523
43657,"COSMOS 2528 [+]",8968,"DELTA 1 DEB [-]",0.000002588,0.471
48563,"STARLINK-2188 [+]",43821,"FLOCK 3S-2 [-]",0.000005708,0.583
56937,"EIVE [+]",35863,"IRIDIUM 33 DEB [-]",0.0000006285,0.706
53936,"STARLINK-4791 [+]",57323,"OBJECT AX [-]",0.0000216,0.484
55347,"STARLINK-5663 [+]",6396,"SL-8 DEB [-]",0.000008565,0.56
57349,"STARLINK-6376 [+]",5154,"THORAD AGENA D DEB [-]",0.000000491,0.767
52694,"STARLINK-4072 [+]",57032,"OBJECT AE [+]",0.000004477,0.754
39451,"SWARM B [+]",43194,"ZHANGHENG 1 (CSES) [+]",0.000009159,0.282
54071,"STARLINK-5168 [+]",5189,"COSMOS 374 DEB [-]",0.00001792,0.352
48397,"STARLINK-2590 [+]",42830,"OBJECT F [-]",0.00008957,0.169
43234,"O3B FM13 [+]",44113,"O3B FM19 [+]",0.0000004466,0.81
46495,"SALSAT [+]",48459,"STARLINK-2579 [+]",0.000009393,0.705
55279,"STARLINK-5323 [+]",25510,"DELTA 2 R/B(1) [-]",0.00002976,0.393
43185,"LEMUR-2-THENICKMOLO [+]",53252,"STARLINK-4132 [+]",0.00001121,0.666
56154,"OBJECT B [+]",56155,"OBJECT C [+]",0.000007022,0.187
46361,"STARLINK-1722 [+]",46506,"NETSAT-1 [+]",0.000005228,0.72
52549,"STARLINK-3935 [+]",40040,"FLOCK 1C-8 [-]",0.000007304,0.534
55420,"STARLINK-5604 [+]",57391,"LEMUR-2-DEVERILL-M-T [+]",0.00003005,0.3
53144,"STARLINK-4100 [+]",40041,"FLOCK 1C-3 [-]",0.00001163,0.507
56170,"BB 2 [+]",35420,"SL-16 DEB [-]",0.000002242,0.573
45555,"STARLINK-1327 [+]",57173,"OBJECT H [+]",0.000007256,0.596
50839,"STARLINK-3320 [+]",39690,"COSMOS 921 DEB [-]",0.000009213,0.519
56153,"OBJECT A [+]",56155,"OBJECT C [+]",0.0001573,0.039
48568,"STARLINK-2217 [+]",37093,"COSMOS 2251 DEB [-]",0.00003016,0.333
47510,"ICEYE-X8 [+]",56203,"NUSAT-37 (JOAN CLARKE) [+]",0.001964,0.018
43643,"YAOGAN-32 B [+]",14801,"SL-8 DEB [-]",0.000007595,0.26
56155,"OBJECT C [+]",56156,"OBJECT D [+]",0.000004998,0.222
43571,"IRIDIUM 158 [+]",39865,"SL-16 DEB [-]",0.000002417,0.429
52261,"STARLINK-3810 [+]",40041,"FLOCK 1C-3 [-]",0.000009176,0.477
39150,"GAOFEN-1 [+]",23607,"UPM/LBSAT [?]",0.0000009798,0.736
56154,"OBJECT B [+]",56156,"OBJECT D [+]",0.0001785,0.037
45782,"STARLINK-1498 [P]",55100,"SPACEBEE-158 [+]",0.000007004,0.582
42828,"NORSAT 2 [+]",56454,"STARLINK-5959 [+]",0.0000006687,0.615
46062,"STARLINK-1574 [+]",57185,"OBJECT V [+]",0.00001134,0.46
33408,"SHIJIAN-6 03A (SJ-6 03A) [+]",57528,"STARLINK-30269 [+]",0.0000006048,0.671
51824,"OBJECT A [+]",57847,"STARLINK-30416 [+]",0.0000005366,0.863
45782,"STARLINK-1498 [P]",54372,"YAOGAN-36 03A [+]",0.000006887,0.651
45551,"STARLINK-1294 [+]",51951,"OBJECT F [+]",0.00000653,0.598
57504,"STARLINK-30213 [+]",30032,"FENGYUN 1C DEB [-]",0.0000007288,0.672
35946,"WORLDVIEW-2 (WV-2) [+]",31194,"FENGYUN 1C DEB [-]",0.0000006931,0.836
44528,"ZY-1 02D [+]",54884,"CZ-6A DEB [-]",0.0000007374,0.627
39240,"YAOGAN 17B [+]",41509,"NOAA 16 DEB [-]",0.000001038,0.498
43884,"LEMUR-2-REMY-COLTON [+]",52614,"STARLINK-3982 [+]",0.00006715,0.213
22825,"EYESAT A (AO-27) [P]",4432,"THORAD AGENA D DEB [-]",0.000003681,0.392
53458,"YUNYAO-1 08 [+]",16611,"COSMOS 1733 [?]",0.00000137,0.728
57474,"STARLINK-30110 [+]",44641,"COSMOS 2535 DEB [-]",0.0000006827,0.7
49954,"IXPE [+]",55784,"STARLINK-5797 [+]",0.000008541,0.554
48914,"ICEYE-X12 [+]",57675,"STARLINK-30317 [+]",0.0000005777,0.818
55365,"STARLINK-5639 [+]",41337,"ASTRO-H (HITOMI) [-]",0.00003172,0.29
50840,"STARLINK-3295 [+]",56754,"TROPICS-07 [+]",0.00001068,0.519
40037,"PERSEUS-M2 [+]",54559,"CZ-6A DEB [-]",0.0000009407,0.625
32791,"SEEDS II (CO-66) [+]",53218,"STARLINK-4384 [+]",0.000005959,0.704
7646,"STARLETTE [+]",37331,"COSMOS 2251 DEB [-]",0.0000008706,0.423
37930,"CHUANGXIN 1-03 (CX-1-03) [+]",7838,"DELTA 1 DEB [-]",0.0000009624,0.835
57197,"A-SEANSAT-PG1 [+]",57605,"STARLINK-30138 [+]",0.0000004992,0.745
47448,"CUBEL [+]",51827,"OBJECT D [+]",0.0000006547,0.615
56694,"STARLINK-30126 [+]",39442,"PUCP-SAT 1 [-]",0.000001008,0.566
44538,"ZHUHAI-1 03D [+]",52191,"SUCHAI-3 [+]",0.00000161,0.398
55965,"STARLINK-5894 [+]",31893,"FENGYUN 1C DEB [-]",0.00001306,0.446
57244,"STARLINK-5610 [+]",26416,"CZ-4B DEB [-]",0.0000006753,0.643
44390,"ICEYE-X4 [+]",45540,"STARLINK-1368 [+]",0.000005248,0.687
46232,"GAOFEN-9 05 [+]",57426,"OBJECT C [+]",0.000001383,0.423
58092,"STARLINK-30615 [+]",45382,"STARLINK-1264 [-]",0.000007454,0.571
46913,"R2 [+]",53415,"STARLINK-4479 [+]",0.00001093,0.482
47488,"ASTROCAST-0102 [+]",56847,"OBJECT B [+]",0.0000005886,0.65
31118,"SAUDISAT 3 [+]",47041,"FENGYUN 1C DEB [-]",0.0000004491,0.766
52358,"STARLINK-3837 [+]",57217,"KUZGTU 1 (RS47S) [+]",0.000006471,0.639
54699,"SHIYAN 20A (SY-20A) [+]",40526,"DMSP 5D-2 F13 DEB [-]",0.0000009143,0.829
43618,"SSTL S1-4 [+]",39922,"PEGASUS DEB [-]",0.0000004819,0.754
55276,"STARLINK-5261 [+]",36713,"FENGYUN 1C DEB [-]",0.00002546,0.476
29108,"CALIPSO [+]",45632,"FREGAT DEB [-]",0.0000006137,0.657
56103,"STARLINK-6096 [+]",57325,"OBJECT AZ [-]",0.0000134,0.498
52787,"GEESAT 3 [+]",31625,"FENGYUN 1C DEB [-]",0.000000668,0.632
54746,"YAOGAN-36 04A [+]",16326,"COSMOS 1707 [?]",0.000004569,0.241
56154,"OBJECT B [+]",56156,"OBJECT D [+]",0.0001785,0.037
56153,"OBJECT A [+]",56154,"OBJECT B [+]",0.00004549,0.074
56153,"OBJECT A [+]",56156,"OBJECT D [+]",0.0003709,0.026
55775,"STARLINK-5809 [+]",38196,"COSMOS 2251 DEB [-]",0.000005266,0.673
46817,"FLOCK 4E'-5 [+]",58229,"OBJECT WC [-]",0.0000004149,0.581
52698,"STARLINK-4030 [+]",57217,"KUZGTU 1 (RS47S) [+]",0.000004857,0.698
56223,"VIREO [+]",57649,"STARLINK-30293 [+]",0.000002247,0.486
55663,"STARLINK-5473 [+]",24893,"SL-3 DEB [-]",0.00002912,0.397
